type,label,leaflet,in_raft,is_pip,phase,x,y,z,q1,q2,q3,q4
lipid_HEAD,POPC,sup,0,0,fluid,11.83,56.825,20.45,0.062418,0.26473,-0.9623,0.0
lipid_HEAD,POPC,sup,0,0,fluid,76.041,196.302,17.061,0.095194,0.400948,0.911141,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,74.323,487.196,22.744,0.067559,0.512681,-0.855917,0.0
lipid_HEAD,POPC,sup,0,0,fluid,272.869,444.669,18.428,0.023843,0.574349,-0.818263,0.0
lipid_HEAD,POPC,sup,0,0,fluid,38.719,405.84,20.598,0.047012,0.8816,0.469651,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,475.91,210.698,17.873,0.039992,-0.65004,0.758847,0.0
lipid_HEAD,POPC,sup,0,0,fluid,386.514,393.918,24.462,0.040772,-0.998703,-0.030506,0.0
lipid_HEAD,POPC,sup,0,0,fluid,30.184,47.205,20.484,0.049328,-0.503195,0.862764,0.0
lipid_HEAD,POPC,sup,0,0,fluid,376.092,117.141,15.709,0.06091,0.045369,-0.997112,0.0
lipid_HEAD,POPC,sup,0,0,fluid,159.507,381.299,20.559,0.044127,0.457307,-0.888213,0.0
lipid_HEAD,POPC,sup,0,0,fluid,197.117,186.965,14.461,0.025472,-0.547172,-0.836633,0.0
lipid_HEAD,POPC,sup,0,0,fluid,489.853,364.542,26.106,0.05006,0.792788,-0.607438,0.0
lipid_HEAD,POPC,sup,0,0,fluid,391.965,392.556,25.204,0.034374,0.662916,-0.747904,0.0
lipid_HEAD,POPC,sup,0,0,fluid,40.184,0.746,23.249,0.04887,-0.865673,0.498219,0.0
lipid_HEAD,POPC,sup,0,0,fluid,150.645,487.558,19.025,0.061882,0.787926,0.612653,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,299.4,437.423,21.333,0.014481,0.781578,0.623639,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,430.522,282.807,21.489,0.026252,-0.334242,-0.942121,0.0
lipid_HEAD,POPC,sup,0,0,fluid,172.496,258.281,14.712,0.040513,0.995117,-0.090008,0.0
lipid_HEAD,POPC,sup,0,0,fluid,114.722,456.755,20.224,0.050915,0.242796,0.96874,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,227.446,421.571,18.401,0.053964,0.465003,-0.883663,0.0
lipid_HEAD,POPC,sup,0,0,fluid,9.919,276.548,20.396,0.06541,-0.989328,-0.130198,0.0
lipid_HEAD,POPC,sup,0,0,fluid,327.585,101.761,15.397,0.170451,0.7666,-0.619088,0.0
lipid_HEAD,POPC,sup,0,0,fluid,116.224,266.229,17.799,0.017294,-0.989399,0.144188,0.0
