type,label,leaflet,in_raft,is_pip,phase,x,y,z,q1,q2,q3,q4
lipid_HEAD,POPC,sup,0,0,fluid,309.348,257.323,16.894,0.048151,0.979128,0.19746,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,197.378,449.94,19.165,0.009032,-0.772606,0.634822,0.0
lipid_HEAD,POPC,sup,0,0,fluid,251.71,115.492,20.69,0.31139,0.949818,-0.029682,0.0
lipid_HEAD,POPC,sup,0,0,fluid,130.999,221.686,13.702,0.063987,-0.903908,-0.422914,0.0
lipid_HEAD,POPC,sup,0,0,fluid,119.961,307.224,15.04,0.026498,0.66364,-0.747582,0.0
lipid_HEAD,POPC,sup,0,0,fluid,241.167,235.914,19.125,0.015628,-0.875994,0.482068,0.0
lipid_HEAD,POPC,sup,0,0,fluid,159.15,469.172,20.313,0.026138,-0.402271,-0.915148,0.0
lipid_HEAD,POPC,sup,0,0,fluid,146.881,206.584,17.505,0.544049,0.594245,-0.592354,0.0
lipid_HEAD,POPC,sup,0,0,fluid,173.43,329.501,14.18,0.021472,-0.959196,-0.281925,0.0
lipid_HEAD,POPC,sup,0,0,fluid,395.118,246.793,17.074,0.06669,-0.951044,0.301775,0.0
lipid_HEAD,POPC,sup,0,0,fluid,259.835,385.549,17.481,0.05286,-0.799412,0.598453,0.0
lipid_HEAD,POPC,sup,0,0,fluid,44.341,200.791,10.545,0.063594,-0.051095,0.996667,0.0
lipid_HEAD,POPC,sup,0,0,fluid,25.445,239.409,11.116,0.051865,0.512344,-0.857213,0.0
lipid_HEAD,POPC,sup,0,0,fluid,476.033,258.676,16.064,0.039883,-0.566793,0.822894,0.0
lipid_HEAD,POPC,sup,0,0,fluid,425.377,361.659,16.402,0.021305,0.954625,-0.297047,0.0
lipid_HEAD,POPC,sup,0,0,fluid,117.413,302.511,14.898,0.063186,0.610344,0.789612,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,205.152,419.785,17.245,0.067048,0.926637,-0.369931,0.0
lipid_HEAD,POPC,sup,0,0,fluid,400.706,399.511,16.819,0.027242,-0.527493,0.849122,0.0
lipid_HEAD,POPC,sup,0,0,fluid,286.998,340.519,17.197,0.247017,-0.790045,0.561081,0.0
lipid_HEAD,POPC,sup,0,0,fluid,156.193,54.855,22.963,0.053087,-0.47946,0.875957,0.0
lipid_HEAD,POPC,sup,0,0,fluid,449.695,315.987,16.775,0.016605,-0.69791,-0.715993,0.0
lipid_HEAD,POPC,sup,0,0,fluid,401.994,350.438,15.795,0.050315,0.952563,-0.300152,0.0
lipid_HEAD,POPC,sup,0,0,fluid,180.398,50.192,22.915,0.064534,-0.609109,0.790456,0.0
lipid_HEAD,POPC,sup,0,0,fluid,226.779,164.767,19.865,0.058637,0.617477,0.7844,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,348.017,307.803,13.086,0.038723,-0.216675,-0.975476,0.0
lipid_HEAD,POPC,sup,0,0,fluid,467.645,70.843,19.851,0.052384,0.60228,-0.796564,0.0
lipid_HEAD,POPC,sup,0,0,fluid,409.218,127.438,19.208,0.028566,0.946309,-0.321999,0.0
lipid_HEAD,POPC,sup,0,0,fluid,141.09,380.826,18.263,0.058175,-0.091153,-0.994136,0.0
lipid_HEAD,POPC,sup,0,0,fluid,362.505,386.839,15.141,0.051692,-0.843675,-0.53436,0.0
lipid_HEAD,POPC,sup,0,0,fluid,189.071,97.365,23.186,0.066469,-0.788195,-0.611826,0.0
lipid_HEAD,POPC,sup,0,0,fluid,413.756,81.417,20.946,0.048092,-0.972238,0.228997,0.0
lipid_HEAD,POPC,sup,0,0,fluid,424.184,279.915,17.057,0.06411,0.924437,0.375907,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,364.097,251.649,16.903,0.05964,-0.988923,-0.13592,0.0
lipid_HEAD,POPC,sup,0,0,fluid,49.728,386.684,20.675,0.028835,0.97774,0.207829,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,152.176,258.623,13.946,0.317412,-0.007353,-0.948259,0.0
lipid_HEAD,POPC,sup,0,0,fluid,40.289,31.644,18.11,0.031169,-0.914167,0.404137,0.0
lipid_HEAD,POPC,sup,0,0,fluid,184.785,74.784,24.244,0.013705,-0.947098,0.320651,0.0
lipid_HEAD,POPC,sup,0,0,fluid,78.59,444.072,22.927,0.360826,0.115238,-0.925486,0.0
lipid_HEAD,POPC,sup,0,0,fluid,105.93,321.735,15.922,0.024943,-0.416026,0.909011,0.0
lipid_HEAD,POPC,sup,0,0,fluid,39.222,379.295,20.306,0.049325,-0.00283,-0.998779,0.0
lipid_HEAD,POPC,sup,0,0,fluid,239.562,286.68,17.822,0.029196,0.390401,0.920182,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,151.554,360.689,16.476,0.011367,-0.594636,-0.803915,0.0
lipid_HEAD,POPC,sup,0,0,fluid,220.191,152.392,20.883,0.035309,-0.964335,0.262319,0.0
lipid_HEAD,POPC,sup,0,0,fluid,204.472,341.698,14.861,0.028323,0.575451,-0.817346,0.0
lipid_HEAD,POPC,sup,0,0,fluid,419.824,193.94,18.279,0.041648,0.999131,-0.001758,0.0
lipid_HEAD,POPC,sup,0,0,fluid,302.563,115.054,21.187,0.014159,-0.757249,0.652972,0.0
lipid_HEAD,POPC,sup,0,0,fluid,294.067,455.514,24.048,0.047754,-0.671067,-0.739857,0.0
lipid_HEAD,POPC,sup,0,0,fluid,274.764,67.707,25.228,0.496299,0.837549,0.228471,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,457.313,294.925,15.199,0.062518,0.270309,-0.960742,0.0
lipid_HEAD,POPC,sup,0,0,fluid,340.981,153.526,21.606,0.059445,0.736394,-0.673936,0.0
lipid_HEAD,POPC,sup,0,0,fluid,9.305,133.958,12.578,0.064476,-0.654166,0.753598,0.0
lipid_HEAD,POPC,sup,0,0,fluid,74.836,283.535,14.054,0.030528,-0.21266,0.976649,0.0
lipid_HEAD,POPC,sup,0,0,fluid,242.019,432.623,17.863,0.061255,0.995638,0.070379,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,445.871,43.549,21.462,0.034305,0.714876,0.698409,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,77.057,458.283,21.933,0.051119,-0.880531,-0.471224,0.0
lipid_HEAD,POPC,sup,0,0,fluid,3.846,264.239,13.619,0.022327,0.214292,-0.976514,0.0
lipid_HEAD,POPC,sup,0,0,fluid,355.633,396.458,16.253,0.024457,0.993861,0.107901,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,112.825,410.245,21.07,0.01677,0.947608,-0.318996,0.0
lipid_HEAD,POPC,sup,0,0,fluid,377.621,190.145,18.816,0.014032,0.72712,-0.686367,0.0
lipid_HEAD,POPC,sup,0,0,fluid,198.753,214.017,18.02,0.00936,-0.85684,0.515498,0.0
lipid_HEAD,POPC,sup,0,0,fluid,279.202,348.818,17.264,0.015444,-0.992236,0.123405,0.0
lipid_HEAD,POPC,sup,0,0,fluid,413.706,278.882,16.479,0.039451,0.498716,-0.865867,0.0
lipid_HEAD,POPC,sup,0,0,fluid,153.106,338.895,16.427,0.045833,0.935052,0.351536,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,480.084,346.962,15.781,0.024976,0.900765,0.433588,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,413.642,94.072,19.145,0.05,0.55944,0.827361,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,207.635,380.004,15.189,0.052006,0.410704,0.910284,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,67.705,43.812,21.399,0.045333,-0.026652,-0.998616,0.0
lipid_HEAD,POPC,sup,0,0,fluid,322.73,91.015,24.452,0.361162,0.618072,0.698247,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,373.384,377.537,14.205,0.047202,0.95104,0.305443,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,197.103,93.982,24.445,0.038161,0.277055,-0.960096,0.0
lipid_HEAD,POPC,sup,0,0,fluid,25.553,216.368,8.623,0.01225,0.737113,0.675659,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,106.125,126.378,17.684,0.046887,-0.5202,0.852757,0.0
lipid_HEAD,POPC,sup,0,0,fluid,154.776,271.33,14.449,0.032201,0.863131,0.503952,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,374.095,359.969,14.904,0.060062,0.565502,-0.822557,0.0
lipid_HEAD,POPC,sup,0,0,fluid,123.398,403.549,20.573,0.037365,-0.75001,0.66037,0.0
lipid_HEAD,POPC,sup,0,0,fluid,106.532,347.981,18.719,0.018,0.678212,0.734646,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,68.919,492.955,23.0,0.019101,0.188251,0.981935,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,356.087,216.098,17.268,0.050111,0.701872,0.710539,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,80.081,147.546,16.138,0.034319,-0.415857,0.908782,0.0
lipid_HEAD,POPC,sup,0,0,fluid,179.107,233.629,16.104,0.007917,0.5298,0.848086,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,461.425,162.963,13.895,0.042614,-0.600171,-0.798736,0.0
lipid_HEAD,POPC,sup,0,0,fluid,279.384,272.377,17.318,0.050111,-0.887857,-0.457382,0.0
lipid_HEAD,POPC,sup,0,0,fluid,340.265,163.976,20.975,0.047264,0.6666,0.743916,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,345.839,139.616,21.623,0.018501,0.997462,-0.068758,0.0
lipid_HEAD,POPC,sup,0,0,fluid,16.607,382.449,20.161,0.04523,-0.640221,-0.766858,0.0
lipid_HEAD,POPC,sup,0,0,fluid,7.87,7.694,21.138,0.03936,0.862748,0.5041,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,444.39,422.581,18.328,0.054414,0.505687,0.860999,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,433.281,283.028,17.131,0.056401,-0.908223,0.414668,0.0
lipid_HEAD,POPC,sup,0,0,fluid,305.605,183.321,20.469,0.030284,0.618337,0.78533,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,168.929,146.539,20.798,0.039754,-0.998859,-0.026477,0.0
lipid_HEAD,POPC,sup,0,0,fluid,364.698,153.336,21.553,0.151622,0.902271,0.403631,-0.0
lipid_HEAD,POPC,sup,0,0,fluid,456.831,130.214,15.082,0.009053,0.403776,-0.914813,0.0
